AppID,Timestamp Created,UserID,Language,PlayTimeTotal,ReviewID,Purchase,Recommended,ReviewText
2780710,1745584365,76561198346745810,schinese,663,193547910,true,true,"类似游戏里这是我体验最好的，碰撞无伤的设计玩起来十分畅快，喷漆和节点也足够有想法，希望加入更多的游戏内容，挑战难度和构筑bd"
2780710,1745503917,76561198083556385,schinese,1191,193481406,true,true,"很好玩，但是为什么地图那么少啊，第四张图最后我以为我一直被KO，结果发现是因为后面没图了"
2780710,1745499567,76561198311344061,schinese,674,193476947,true,false,"steamdeck 会自动闪退 不知道什么原因，一点提示都没有，开始游戏后 半分钟左右就闪退，试了好几次都这样，机子重启也是一样。玩不了了"
2780710,1745483629,76561198919546335,schinese,297,193464839,true,true,"游戏挺好玩的，可惜成就不是中文"
2780710,1745466296,76561198332080850,schinese,498,193453882,true,true,"进步空间很大"
2780710,1745459878,76561199477842154,schinese,2568,193449651,true,true,"很不错的产品，很好玩，有一定的难度不是无脑割草的游戏。"
2780710,1745426207,76561198798164999,schinese,233,193420483,true,false,"强度和bd成型过于随机，体会不到太多构筑的乐趣"
2780710,1745412232,76561199602104112,schinese,389,193406039,true,false,"不好玩，半成品就拿上来"
2780710,1745339545,76561199519976539,schinese,459,193346203,true,true,"1"
2780710,1745260472,76561199374621005,schinese,1928,193285992,true,true,"好玩，贼好玩，有种玩吸血鬼幸存者+网游的感觉"
2780710,1745260322,76561198862693111,schinese,356,193285808,true,false,"遇到个BUG 目前我战士11级 猎人4级 先知15级 但我的属性点只有先知有14点 战士和猎人属性点没了 重置也没用 等于我这个档战士和猎人废了 只能玩先知"
2780710,1745248766,76561198253125453,schinese,648,193272458,true,true,"爽刷，非常爽"
2780710,1745222373,76561198185491473,schinese,611,193248995,true,true,"游戏还挺有意思的 就是内容太少了 完全就是半成品"
2780710,1745205108,76561198138555129,schinese,1758,193236626,true,false,"内容太少了，"
2780710,1745179661,76561198110218223,schinese,407,193214337,true,false,"玩了5个小时，就合出一次超武。"
2780710,1745157191,76561198316236500,schinese,556,193187688,true,true,"睡前小游戏，好玩"
2780710,1745156752,76561198175265815,schinese,196,193187185,true,true,"hao"
2780710,1745148155,76561198446517856,schinese,1295,193178743,true,true,"好玩好玩 开发者也很看重中国玩家建议~"
2780710,1745145664,76561198862667971,schinese,341,193176520,true,false,"游戏对比吸血鬼本体完成度太低，亮点也就是局内有2种以上构筑方式，建议等多一段时间到游戏正式版再入。"
2780710,1745134514,76561198186660950,schinese,600,193166968,true,true,"[h1] 先给好评，玩着还不错，但完成度不高 [/h1]
BD成型不算难，玩着很爽,但是有些设计很不合理

1、目前可能是因为后面关卡还未设计完成，第4关之后就结束了，但是你[b] 为什么不让我打第4关的boss? WHY？目前的设计是第4关见到boss之后，人物直接死亡，但是没有任何提示！！！没有任何解释！！！ [/b]
这个设计我觉得非常不合理，你就是放个木桩在这我觉得都没问题，我初见还以为是触发了boss的秒杀机制，反复尝试最终得到结论就是不给打，这就太难受了，能见到boss本身就不容易，打到20分钟足够说明BD已经成型，结果这时候不让我爽了？？？

2、BD平衡性很弱，弱到完全没有玩其他流派的兴趣，目前火系是爷爷，物理是爹，其他的通通是孙子，然后[u] 巨人之牙+旋风劈斩= 炙热混沌之刃 [/u]几乎是高难唯一指定流派，可以搭配命运之结系统几乎所有强力流派
这里分享几个无敌流派：
每秒-1血获得10%吸血+掉血几率+1%伤害，无限成长高难必备，快速叠出200%以上增伤
击杀点燃敌人几率增加火伤，搭配[u]炙热混沌之刃[/u] 同样是无限成长快速叠火伤
释放10个火系技能回1%血，搭配[u]炙热混沌之刃[/u] 你会看到头上疯狂跳回血，几乎等于无限血
和上述BD比其他的就太弱了，挑战高难很容易卡在10分钟小boss上

3、等级提升太慢且人物没有共享技能点，但技能树里普攻加成基本是必备产物，导致玩新角色必须降难度且玩起来很折磨

4、背包系统，这套系统导致局外成长前戏过长且操作极为繁琐
首先最无法接受的是[b] 取消装备符文必须按ESC [/b]，导致操作这个系统没法单手操作，更累了。。。
其次，没有记忆功能，中后期获得符文和锻造符文多了之后，肯定会根据自己流派倾向选择定向加成，没有记忆功能导致每一次想换流派玩就只能重新摆放符文，进一步导致没有换流派的动力

[h3] 总结 [/h3]
底子很好，但缺陷也很多，期待后期更新，初见很爽，但目前内容不足，玩时间长了会有点腻

[h1] 尽快把第4关boss的问题给我改了，随便你是放个木桩还是加个致歉声明！尽快改！！！ [/h1]"
