AppID,Timestamp Created,UserID,Language,PlayTimeTotal,ReviewID,Purchase,Recommended,ReviewText
2780710,1745527825,76561198033368957,german,171,193507701,true,true,"ein schmackofatz"
2780710,1745514988,76561199208251335,german,754,193494107,true,true,"Mega"
2780710,1745481721,76561198089507720,german,905,193462755,true,true,"Fun little Game
Hope there is going to be more Content"
2780710,1745434747,76561199291042598,german,24,193429257,true,true,"Dieses Spiel beinhaltet eine sehr große Map wenn man bedenkt das man ein Kleiner Krieger ist und die Fähichkeiten in diesem Spiel sind sehr gut einsetzbar dennoch wir des immer Schwieriger je weiter man kommt. Es kommen dann z.B. kleine Laufende Pilze. Aber egal im grunden und ganzen macht es mir spass kommt drauf an ob es euch Spass macht.

Müsst ihr Wissen."
2780710,1745424366,76561198236662942,german,1292,193418527,true,true,"gut"
2780710,1745415619,76561198901943143,german,1548,193409282,true,true,"es is abwechslungsreich und gute Mechanik, sowie gute Kombis der Fähigkeiten. Türlich is manches verbesserungswürdig, aber dies sind nur kleien Dinge"
2780710,1745411393,76561199761978929,german,163,193405314,true,true,"Cool look of the game and challenging Boss Fights.
One of the best games of its type !!!"
2780710,1745404601,76561198865157780,german,1466,193400581,true,true,"⭐️⭐️⭐️⭐️⭐️ (5/5)

Came for the Norse vibes, stayed because RNGesus gave me a scuffed lightning build that somehow melted everything in sight.

Asgard’s Fall is peak roguelike energy:
🪓 Start weak
💀 Die
⚡️ Get random OP upgrade
🔥 Accidentally become god
☠️ Die anyway to some goat demon with 3 health left

No story, no handholding, just vibes, violence, and the occasional “how is this build even working??” moment. It’s janky in the fun way, chaotic in the best way, and dangerously addictive.

If you love dumb OP builds, last-second clutches, and yelling “ONE MORE RUN” at 3am — this is your game.

10/10, RNG broke me and I liked it."
2780710,1745403203,76561198025226685,german,721,193399702,true,true,"Absolute Empfehlung für alle, die Survivors-Like feiern! Obwohl sich das Spiel aktuell noch im Early Access befindet, wird hier schon super viel Content geliefert: Drei Charaktere, einige Karten, mehrere Meta-Progression Skill-Trees und eine Fülle an unterschiedlichen Gegnern, Bossen und die Möglichkeit sich vor Beginn jeder Runde mit Blutopfern selbst das Leben zur Hölle, äh, Valhalla zu machen.
Auf der anderen Seite habe ich aber auch Verbesserungsvorschläge und Ideen. Ich hoffe die Entwickler lesen das auch:
Die Menüführung fühlt sich manchmal janky an, ist nicht so intuitiv: Menüs lassen sich oft nur öffnen, wenn ich zuerst ein Anderes Schließe. Da wäre es flüssiger von Jedem Menü aus Jedes Menü öffnen zu können. Das Kompenduum Menü ist unnötig versteckt.
In vielerlei Hinsicht würde ich das Game gerne sowohl nur mit der Maus, als auch nur mit der Tastatur spielen können, Runen z.B. auch mit dem Mausrad rotieren und mit Rechtsclick löschen. Dass man Runen nur mit ESC löschen kann, hat manchmal dazu geführt, dass ich versehentlich das Runenmenü verlassen habe.
Balance: Aktuell kommen mir bestimmte Kombos so OP vor, dass alles andere nicht viable ist. Ich skille fast immer zwangsläufig auf physische Abilities, weil nur die den Knoten haben, der den Cooldown aller Fähigkeiten verringert, was irgendwann so krass snowballed, dass alles andere egal wird. Wenn ich auf Statuseffekte gehe und versuche darüber mein Angriffstempo zu erhöhen, bin ich immer am Boss gescheitert (Knoten, der Angriffstempo pro Gegner mit Statuseffekt erhöht könnte dies auch ""hoch zwei"" machen bei mehreren Effekten auf einem Gegner).
Auch finde schade, dass wenn man eine Fusion erreicht, man diese nicht weiterskillen kann oder beide Fähigkeiten zusammengelegt werden, wodurch wieder ein Fähigkeitsslot frei würde und man weitere Fusionen versuchen könnte zu erreichen. Vielleicht sogar Fusionen fusionieren?:o Da stelle ich mir noch einen komplexeren Skillbaum vor. Insgesamt finde ich die Auswahl an Fähigkeiten und Fähigkeitsupdates noch begrenzt. Ich würde mir mehr Updates wünschen, die das Potential haben zu snowballen und gemeinsam würdige Effekte hervorzurufen. 
Für mehr Rückmeldung baut gerne ein Reviewtool ein, was man z.B. nach jeden Run ausfüllen darf^^ LG Krawnless"
2780710,1745402626,76561198342385024,german,808,193399333,true,true,"Geiles Game! Die Funktion mit den Runen am Anfang ist richtig geil. Der Berserker mit Blut und Explosion macht mit Hand of Blood sehr viel Spaß. Jetzt auch mit Steamcloud mach es auch auf dem Steamdeck Spaß. 

Ich kann es empfehlen, aber muss ihr Wissen! XD"
2780710,1745371143,76561198321499925,german,655,193378720,true,true,"Für Fans solcher Spiele ein echter Suchtmacher.
Wer diese Art von Games liebt, wird hier definitiv auf seine Kosten kommen. Aber auch für Neulinge, die mal reinschnuppern wollen, absolut empfehlenswert.

Ich freue mich schon auf kommende Updates und Patches!"
2780710,1745362965,76561198044684727,german,402,193372101,true,true,"If you like NORDIC ASHES, this game is for you."
2780710,1745348028,76561198055904503,german,1095,193356307,true,true,"Geiles Game, freue mich auf alle Updates!"
2780710,1745347136,76561198419821442,german,583,193355254,true,true,"Top"
2780710,1745341812,76561198010767112,german,28,193348799,true,false,"Ich werd nicht warm mit dem Spiel im aktuellen Zustand. Die Runs sind von Beginn an öde und es gibt viel zu wenig auf der Karte. Wenn ihr wenig Content anbietet, dann priorisiert doch bitte die Erkundung damit die fehlenden Build-Möglichkeiten zumindest nicht direkt durchscheinen. Werde es in 2-3 Monaten nochmal probieren, aber zum derzeitigen Zeitpunkt kann ich es leider nicht empfehlen."
2780710,1745319365,76561198041584257,german,598,193327908,true,true,"Super Spiel nur zu empfehlen"
2780710,1745258210,76561198146525569,german,1628,193283227,true,true,"Macht einfach richtig Bock! Der Skilltree ergibt zum Glück endlich mal Sinn. Der Rundenskilltree ist eine richtig geile Idee – ich liebe alles daran. Die Fähigkeiten knallen und die Skill-Kombos fühlen sich richtig wertig an! Die Runentasche habe ich zwar erst spät gecheckt, aber die ist eine top Idee fürs Lategame. Die Übersicht in Floor 3 mit +50% Gegnern ist zwar hart chaotisch, aber irgendwie hat’s mich irre lachen lassen – also auch alles richtig gemacht! xD
Hat mich bisher in keinem Punkt enttäuscht. 10/10 für das Genre."
2780710,1745257607,76561199834409959,german,1710,193282596,true,true,"TOP
"
2780710,1745256107,76561198061582314,german,745,193280860,true,true,"wer solche spiele mag dem wird das gefallen"
2780710,1745242855,76561198280938220,german,825,193265710,true,true,"Top Spiel
"
2780710,1745238206,76561198271613491,german,458,193260961,true,true,"Das Spiel ist sehr lustig und Innovativ, ich würde mir für den Nächsten Patch aber eine sortier Möglichkeit für die Runen Wünschen weil sie sonst schnell unübersichtlich werden"
